Feature,Information_Gain
V246,0.07893313453556905
C1,0.07602961171395983
TransactionID,0.07470454214094135
TransactionDT,0.07401175264740933
V258,0.07290722806839267
V257,0.06812208286061638
V189,0.06786659147658214
V201,0.06521283048786608
V244,0.06487705938341226
V87,0.06425301564876196
V200,0.06342214465956442
V243,0.06301975356530232
V242,0.06273467368318109
TransactionAmt,0.06122096363304008
V45,0.0604364502894712
V188,0.06027851384337635
V199,0.059438710676766204
V86,0.05797664765315669
V190,0.05620481975774405
V249,0.054374620011582664
V44,0.054122182479646064
V186,0.05405303618644974
C11,0.05153679925610288
V156,0.05038236139623686
C2,0.04970532881114398
V198,0.049308897449472866
V149,0.04798033761960796
V248,0.04660695555598826
V187,0.04646698462950494
V155,0.045314977725212424
DeviceInfo,0.04504361395396406
V259,0.044920738950274375
C6,0.044656322734228926
V245,0.044365029159946445
card1,0.044321835631475626
V251,0.04419062525288808
V148,0.044153352101633736
V154,0.04406414141172399
V110,0.04402447263694942
V109,0.0436465050627719
V195,0.04350303645471176
V108,0.043321837001752295
V23,0.0423164852371567
V17,0.04216377837359331
V24,0.041674461645240246
V153,0.04157235051754116
D8,0.04119565885390419
C12,0.04115805749273793
V228,0.04095037608782759
V252,0.040524182457178926
V250,0.04035179789513843
V274,0.04029959264862781
id_25,0.03929394109599449
V94,0.03910697876204794
V124,0.039060133631239946
V61,0.03879674814494005
V46,0.03874659833220706
C7,0.038735587626923085
V52,0.03855420711330004
C4,0.03850451931171972
V191,0.038196481545310634
V22,0.03803936498497662
V125,0.03797246508764851
V230,0.03780425247023733
V275,0.0377300437387571
V123,0.03747882469995356
V50,0.03733315529954617
C8,0.03726789535220232
V63,0.03709776195310588
C14,0.03708098159949902
V19,0.036706259736791536
V77,0.0366473087881074
V194,0.03662446966503996
V82,0.03612792535152143
V197,0.036127223214621695
V66,0.03604265982479604
V39,0.035962310978555845
V32,0.03585010735069738
V229,0.03584267917560657
V47,0.03581757122708895
V212,0.035778874089555934
V255,0.03565661450898916
V264,0.035648993129521855
V247,0.0356121151633475
V170,0.03557352548618886
V81,0.03555681997012372
V265,0.03546987860190054
V232,0.03543917598461954
V193,0.035427701097755504
V256,0.035206578066361516
V71,0.03511602926148938
V176,0.03486703196005925
V233,0.034640127078921834
V42,0.034378884321015324
V273,0.034224387481492924
id_35,0.034179289201764274
V117,0.03407724937217327
V213,0.03402782791258674
V260,0.03362916333362942
V79,0.033457032982028956
